id;question;answer;source_url;last_updated
1;Fazla bagaj ücreti nedir?;Ücret, hat ve kabin sınıfına göre değişir. Lütfen resmi kaynakla doldurun.;https://…;1.07.2025
;Kabin bagajı taşıma hakkım ne kadardır?;Kabin bagajı, yolcunun kendi denetim ve sorumluluğu altında, yolcu kabininde ücretsiz olarak taşınan bagajdır. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/kabin-bagaji-sorulari/index.html;3.07.2025
;Hangi ödeme yöntemleri ile ödeme yapılabilmektedir?;Desteklenen ödeme yöntemleri ödeme yapılmak istenen para birimine, uçuş parkuruna ve uçuşa kalan süreye göre değişiklik göstermektedir. Online kanallarımızdan kredi kartınızdan farklı olarak Sofort, İdeal, Klarna, Alipay, Shetab Kart, UnionPay, İnternet Bankacılığı, EFT, BKM Ekspress, Google Pay, PayPal, Apple Pay, Hediye Kart, Seyahat Çeki, Cash&Miles ve TK Cüzdan ile ödemenizi gerçekleştirebilirsiniz. Detaylı bilgi için ödeme sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/odeme-sorulari/index.html;5.07.2025
4;Faturadaki mükellef bilgilerimi ne zamana kadar güncelleyebilirim?;Biletinizi satın aldığınız ayı izleyen ayın 10’uncu gününe kadar, mali e-biletinizde yer alan mükellef bilgilerini güncelleyebilirsiniz. Bu tarihten sonra mali e-bilet bilgilerinde değişiklik yapamaz, sadece mali e- biletinizi görüntüleyebilirsiniz.Mükellef bilgilerinizi güncelledikten sonra elektronik sertifika ile imzalanacak olan mali e-biletiniz, düzenlenmesinden en geç 72 saat sonra belirttiğiniz e-posta adresine gönderilecektir.;https://www.turkishairlines.com/tr-int/bilgi-edin/odeme-sorulari/index.html;6.07.2025
;Biletimi satın aldıktan sonra iptal etmem mümkün mü?;"Biletinizi iptal edebilirsiniz ancak her biletin iptal/iade durumu ücret koşullarına göre değişiklik gösterir. Biletinizin ücret koşullarını ""uçuşlarım"" sayfasından görebilir, detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilirsiniz.";https://www.turkishairlines.com/tr-int/bilgi-edin/rezervasyon-biletleme-sorulari/index.html;7.07.2025
;Biletimi kredi kartımla taksitli alabilir miyim?;Uçak biletinizi anlaşmalı bankaların kredi kartlarıını kullanarak taksitle alabilirsiniz. Anlaşmalı bankalar ve taksit seçeneklerini görmek için ödeme sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/rezervasyon-biletleme-sorulari/index.html;8.07.2025
;Havalimanına gelirken e-biletimin çıktısını yanıma almam gerekir mi?;Hayır, e-biletinizin çıktısını yanınızda taşımak zorunda değilsiniz. Bilet numarası, rezervasyon kodu (PNR) ve kimliğinizle kontuarda işlem yapabilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/check-in-sorular/;9.07.2025
;Grup biletler için online check-in yapabilir miyim?;Seyahat acentesinden satın aldığınız grup biletleriniz için gruptaki yolcuların soyadlarını bilet numaraları ile beraber tek tek yazarak bir işlemde en fazla 9 yolcu olmak üzere check-in işlemini gerçekleştirebilirsiniz.;;10.07.2025
;Online check-in işlemimi nasıl iptal edebilirim?;Çağrı merkezimizi arayarak online check-in işleminizi iptal edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/check-in-sorular/;11.07.2025
;Kiosk check-in işlemini nasıl gerçekleştirebilirim?;Öncelikle check-in yapabileceğiniz kioskların kolayca kullanılabilecek şekilde tasarlandığını ve dokunmatik ekranlarıyla oldukça basit bir menüye sahip olduğunu belirtelim. Check-in işlemlerine başlamak için Miles&Smiles veya herhangi bir banka kartını kart okutucuya yerleştirebilir ya da tercihe göre e-bilet numarası veya rezervasyon kodunu (PNR) girebilirsiniz. Check-in işlemleri, koltuk seçiminin ardından biniş kartınızın üretilmesiyle sona erer. Check-in sırasında kart okuyucuya yerleştirdiğiniz kartınız sadece kimlik bilgilerinize ulaşmak amacıyla kullanılır. Detaylı bilgi için check-in sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/check-in-sorular/;12.07.2025
;Katlanabilir tekerlekli sandalyemi kabin bagajı olarak alabilir miyim?;Tekerlekli sandalyenizi seferinizi gerçekleştirdiğiniz uçak modeline bağlı olmak üzere kabin bagajı olarak alabileceğiniz gibi kabin içi tekerlekli sandalyeleri de kullanabilirsiniz. Bu uygulamaların bulunmadığı uçaklarımızda tekerlekli sandalyeler uçak altı bagaj bölümünde uçağın taşınmaktadır. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;13.07.2025
;Kabine alabileceğim bagajın en yüksek boyut ve ağırlığı nedir?;Economy Class uçuşlarınızda kabine alabileceğiniz tek parça bagajın maksimum boyutu 23x40x55 cm, maksimum ağırlığı 8 kg'dır. Business Class uçuşlarınızda her biri maksimum 23x40x55 cm boyutlarında ve 8 kg ağırlığında iki parça bagajı, kabin bagajı olarak alabilirsiniz. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;14.07.2025
;Kabin içine birden fazla çanta alabilir miyim?;Economy Class uçuşlarınızda kabin içine boyutu en fazla 23x40x55 cm, ağırlığı en fazla 8 kg olan tek parça bagaj alabilirsiniz. Business Class'ta yolculuk yapıyorsanız her biri en fazla 23x40x55 cm boyutlarında ve 8 kg ağırlığında iki parça bagajı, kabin bagajı olarak taşıyabilirsiniz. Kabin bagajı taşıma hakkınızı aştığınız durumlarda ekstra bagaj ücreti talep edileceğini belirtelim. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;15.07.2025
;Bagajımda kırılabilir eşyalar taşıyabilir miyim?;Uçağın bagaj altı kompartımanına vereceğiniz bagajınızın içeriğini hazırlarken içerisinde kırılabilir ve bozulabilir maddeler, elektronik cihazlar, para, mücevher, değerli maden, gümüş eşya, senet ve diğer ticari değerli kağıtlar, pasaport ve diğer kimlik belgelerinin veya örneklerinin bulunmamasına özen göstermelisiniz. Bu tarz eşyaları üzerinizde veya kabin bagajınızda paketlenmiş olarak taşıyabilirsiniz. Uçağın yolcu kapasitesi dolmuşsa kabin bagajında yer olmayabilir. Böyle durumlarda el bagajınız uçağın bagaj altı kompartımanına alınabilir. Bu ihtimale karşı, yukarıda tarif edilen eşyalarınızı çantanızdan hızlıca alabileceğiniz şekilde muhafaza etmenizi tavsiye ederiz. Detaylı bilgi için Yolcu ve Bagaj Taşıma Genel Şartları sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;16.07.2025
;Kabin bagajımda ikinci bir laptop taşıyabilir miyim?;Aynı çanta içinde olmak koşuluyla ikinci bir laptop ya da tablet bilgisayarı kabin bagajınızda taşıyabilirsiniz. Koltuğun altına sığabilmesi için çantanızı aşırı doldurmamaya dikkat etmenizi öneririz. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz. ;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;17.07.2025
;Kabinde ruhsatlı silahımı taşıyabilir miyim?;"Yurt içi uçuşlarımızda silah taşımak ücretlidir. Silah taşıma ücretinden muaf olan yolcular ise; Rical listesinde yer alan VIP yolcular, bu yolcularla seyahat eden kadrolu korumalar, kamuya ait kimlik kartına tanımlı silah bilgisi olanlar, Kamu Görevlisi Taşıma Ruhsatı veya Emekli Kamu Görevlisi Taşıma Ruhsatı’na sahip olanlar, kimlik ibraz eden çalışan ya da emekli Emniyet ve TSK mensupları ile köy güvenlik korucularıdır.";https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;18.07.2025
;Kilo sınırını aşan bagajımı nasıl gönderebilirim?;Hava kargo taşımacılığı ile ilgili şartları tüm detaylarıyla öğrenmek için turkishcargo.com web sitesini ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;19.07.2025
;Aktarma yaptığım sırada bagajımı alabilmem mümkün mü?;Ne yazık ki aktarma sırasında bagajınıza ulaşabilmeniz mümkün değil. Detaylı bilgi için bagaj ya da transfer ve transit yolcu sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;20.07.2025
;Bagajımı sigortalayabiliyor musunuz?;Uçuşlarımızda bagajınız sigortalanmasa da uçak altı bagaj bölümüne kabul edilen tüm bagajların sorumluluğumuz altında olduğundan emin olabilirsiniz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;21.07.2025
;Uçuşum iptal olduğunda satın aldığım ekstra bagaj hakkına ne oluyor?;Uçuşunuz iptal olduysa ve başka bir seferle varış yerine ulaştırılamadıysanız satın aldığınız ekstra bagaj hakkının iadesini alabilirsiniz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;22.07.2025
;Çocukların bagaj hakkı yetişkinlerle aynı mı?;2-12 yaş aralığındaki çocuk yolcularımızın bagaj hakları yetişkin yolcularımızla aynıdır. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;23.07.2025
;Birden fazla havayolu firmasıyla uçtuğumda bagaj hakkımı nasıl öğrenebilirim?;Birden fazla havayolu firmasıyla seyahatinizi gerçekleştirdiğinizde en önemli taşıyıcının (MSC) bagaj kuralları geçerlidir. En önemli taşıyıcı (MSC), seyahatteki en önemli ve/veya en uzun bacağı uçan havayolu firmasına göre IATA (Uluslararası Hava Taşımacılığı Birliği) kuralları gereğince belirlenir. Bagaj koşulları her uçuşa göre farklılık gösterdiği için en doğru detaylara, rezervasyon bilgilerinizden ve bilet üzerindeki bagaj bilgilerinden ulaşabilirsiniz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/bagaj-sorulari/index.html;24.07.2025
;Rötar durumunda hangi kanallardan işlem yapabilirim?;Rötar durumunda çağrı merkezi ve satış ofislerimizden işlemlerinizi gerçekleştirebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/ucus-iptali-ve-degisikligi-sorulari/index.html;1.06.2025
;Tarife değişikliğinden nasıl haberdar olabilirim?;Türk Hava Yolları, siz değerli yolcularımıza tarife değişikliği gerçekleşmesi halinde rezervasyonunuzda kayıtlı olan iletişim bilgilerinize SMS ve e-posta gönderimi sağlamaktadır.;https://www.turkishairlines.com/tr-int/bilgi-edin/ucus-iptali-ve-degisikligi-sorulari/index.html;2.06.2025
;Uçuşumun iptal olduğundan nasıl haberdar olabilirim?;Türk Hava Yolları, siz değerli yolcularımıza uçuş iptali gerçekleşmesi halinde SMS ve e-posta gönderimi sağlamaktadır. Ayrıca web sitemiz ve mobil uygulamamız üzerinden uçuş durumunuzu kontrol edebilirsiniz.;https://www.turkishairlines.com/tr-int/bilgi-edin/ucus-iptali-ve-degisikligi-sorulari/index.html;3.06.2025
;Tarife değişikliği nedir?;Uçuş bilgisinde (tarih, saat ve uçuş numarası) operasyonel sebeplerle gerçekleşebilecek olan herhangi bir değişikliğe tarife değişikliği denir.;https://www.turkishairlines.com/tr-int/bilgi-edin/ucus-iptali-ve-degisikligi-sorulari/index.html;4.06.2025
